Open Time,Order,Symbol,Type,Volume,Price,S/L,T/P,Time,State,Comment
2025.02.25 17:30:00,25,XAUUSDc,sell,9.94 / 9.94,0.00,,,2025.02.25 17:30:00,filled,
2025.03.10 04:00:00,26,XAUUSDc,buy,9.62 / 9.62,0.00,2831.92,,2025.03.10 04:00:00,filled,systematic-v1 BUY
2025.03.14 06:00:00,27,XAUUSDc,sell,9.62 / 9.62,0.00,,,2025.03.14 06:00:00,filled,
2025.03.14 06:00:00,28,XAUUSDc,buy,10.22 / 10.22,0.00,2913.10,,2025.03.14 06:00:00,filled,systematic-v1 BUY
2025.03.21 16:00:00,29,XAUUSDc,sell,10.22 / 10.22,0.00,,,2025.03.21 16:00:00,filled,
2025.03.27 17:00:00,30,XAUUSDc,buy,10.28 / 10.28,0.00,2978.21,,2025.03.27 17:00:00,filled,systematic-v1 BUY
2025.04.01 05:15:00,31,XAUUSDc,sell,10.28 / 10.28,0.00,,,2025.04.01 05:15:00,filled,
2025.04.01 05:15:00,32,XAUUSDc,buy,10.94 / 10.94,0.00,3059.66,,2025.04.01 05:15:00,filled,systematic-v1 BUY
2025.04.03 14:00:00,33,XAUUSDc,sell,10.94 / 10.94,0.00,,,2025.04.03 14:00:00,filled,
2025.04.10 18:30:00,34,XAUUSDc,buy,10.53 / 10.53,0.00,3090.86,,2025.04.10 18:30:00,filled,systematic-v1 BUY
2025.04.16 03:00:00,35,XAUUSDc,sell,10.53 / 10.53,0.00,,,2025.04.16 03:00:00,filled,
2025.04.16 03:00:00,36,XAUUSDc,buy,11.19 / 11.19,0.00,3172.07,,2025.04.16 03:00:00,filled,systematic-v1 BUY
2025.04.16 21:15:00,37,XAUUSDc,sell,11.19 / 11.19,0.00,,,2025.04.16 21:15:00,filled,
2025.04.16 21:15:00,38,XAUUSDc,buy,11.92 / 11.92,0.00,3252.59,,2025.04.16 21:15:00,filled,systematic-v1 BUY
2025.04.17 17:30:00,39,XAUUSDc,sell,11.92 / 11.92,0.00,,,2025.04.17 17:30:00,filled,
2025.04.21 03:45:00,40,XAUUSDc,buy,11.62 / 11.62,0.00,3290.07,,2025.04.21 03:45:00,filled,systematic-v1 BUY
2025.04.22 04:45:00,41,XAUUSDc,sell,11.62 / 11.62,0.00,,,2025.04.22 04:45:00,filled,
2025.04.22 04:45:00,42,XAUUSDc,buy,12.37 / 12.37,0.00,3370.81,,2025.04.22 04:45:00,filled,systematic-v1 BUY
2025.04.22 19:30:00,43,XAUUSDc,sell,12.37 / 12.37,0.00,,,2025.04.22 19:30:00,filled,
2025.05.06 04:15:00,44,XAUUSDc,buy,11.73 / 11.73,0.00,3282.50,,2025.05.06 04:15:00,filled,systematic-v1 BUY
2025.05.07 01:30:00,45,XAUUSDc,sell,11.73 / 11.73,0.00,,,2025.05.07 01:30:00,filled,
2025.05.08 01:15:00,46,XAUUSDc,buy,11.97 / 11.97,0.00,3287.76,,2025.05.08 01:15:00,filled,systematic-v1 BUY
2025.05.08 09:45:00,47,XAUUSDc,sell,11.97 / 11.97,0.00,,,2025.05.08 09:45:00,filled,
2025.05.20 04:00:00,48,XAUUSDc,buy,11.61 / 11.61,0.00,3143.60,,2025.05.20 04:00:00,filled,systematic-v1 BUY
2025.05.21 05:45:00,49,XAUUSDc,sell,11.61 / 11.61,0.00,,,2025.05.21 05:45:00,filled,
2025.05.21 05:45:00,50,XAUUSDc,buy,12.36 / 12.36,0.00,3224.14,,2025.05.21 05:45:00,filled,systematic-v1 BUY
2025.05.27 11:00:00,51,XAUUSDc,sell,12.36 / 12.36,0.00,,,2025.05.27 11:00:00,filled,
2025.06.02 15:15:00,52,XAUUSDc,buy,12.23 / 12.23,0.00,3278.01,,2025.06.02 15:15:00,filled,systematic-v1 BUY
2025.06.03 17:00:00,53,XAUUSDc,sell,12.23 / 12.23,0.00,,,2025.06.03 17:00:00,filled,
2025.06.04 04:00:00,54,XAUUSDc,buy,12.1 / 12.1,0.00,3270.44,,2025.06.04 04:00:00,filled,systematic-v1 BUY
2025.06.06 21:15:00,55,XAUUSDc,sell,12.1 / 12.1,0.00,,,2025.06.06 21:15:00,filled,
2025.06.13 03:15:00,56,XAUUSDc,buy,11.73 / 11.73,0.00,3322.44,,2025.06.13 03:15:00,filled,systematic-v1 BUY
2025.06.16 10:15:00,57,XAUUSDc,sell,11.73 / 11.73,0.00,,,2025.06.16 10:15:00,filled,
2025.07.02 10:30:00,58,XAUUSDc,buy,11.8 / 11.8,0.00,3250.42,,2025.07.02 10:30:00,filled,systematic-v1 BUY
2025.07.03 15:45:00,59,XAUUSDc,sell,11.8 / 11.8,0.00,,,2025.07.03 15:45:00,filled,
2025.07.11 13:45:00,60,XAUUSDc,buy,11.61 / 11.61,0.00,3267.57,,2025.07.11 13:45:00,filled,systematic-v1 BUY
2025.07.22 18:15:00,61,XAUUSDc,sell,11.61 / 11.61,0.00,,,2025.07.22 18:15:00,filled,
2025.07.22 18:15:00,62,XAUUSDc,buy,12.3 / 12.3,0.00,3348.40,,2025.07.22 18:15:00,filled,systematic-v1 BUY
2025.07.23 19:15:00,63,XAUUSDc,sell,12.3 / 12.3,0.00,,,2025.07.23 19:15:00,filled,
2025.08.04 14:15:00,64,XAUUSDc,buy,11.9 / 11.9,0.00,3283.95,,2025.08.04 14:15:00,filled,systematic-v1 BUY
2025.08.11 11:15:00,65,XAUUSDc,sell,11.9 / 11.9,0.00,,,2025.08.11 11:15:00,filled,
2025.08.21 12:00:00,66,XAUUSDc,buy,11.8 / 11.8,0.00,3259.71,,2025.08.21 12:00:00,filled,systematic-v1 BUY
2025.08.28 22:00:00,67,XAUUSDc,sell,11.8 / 11.8,0.00,,,2025.08.28 22:00:00,filled,
2025.08.28 22:00:00,68,XAUUSDc,buy,12.52 / 12.52,0.00,3340.21,,2025.08.28 22:00:00,filled,systematic-v1 BUY
2025.09.02 04:45:00,69,XAUUSDc,sell,12.52 / 12.52,0.00,,,2025.09.02 04:45:00,filled,
2025.09.02 04:45:00,70,XAUUSDc,buy,13.33 / 13.33,0.00,3422.75,,2025.09.02 04:45:00,filled,systematic-v1 BUY
2025.09.04 06:15:00,71,XAUUSDc,sell,13.33 / 13.33,0.00,,,2025.09.04 06:15:00,filled,
2025.09.05 15:45:00,72,XAUUSDc,buy,13.44 / 13.44,0.00,3503.52,,2025.09.05 15:45:00,filled,systematic-v1 BUY
2025.09.09 17:00:00,73,XAUUSDc,sell,13.44 / 13.44,0.00,,,2025.09.09 17:00:00,filled,
2025.09.09 17:00:00,74,XAUUSDc,buy,14.32 / 14.32,0.00,3586.23,,2025.09.09 17:00:00,filled,systematic-v1 BUY
2025.09.17 22:00:00,75,XAUUSDc,sell,14.32 / 14.32,0.00,,,2025.09.17 22:00:00,filled,
2025.09.22 09:45:00,76,XAUUSDc,buy,14.07 / 14.07,0.00,3637.08,,2025.09.22 09:45:00,filled,systematic-v1 BUY
2025.09.24 21:15:00,77,XAUUSDc,sell,14.07 / 14.07,0.00,,,2025.09.24 21:15:00,filled,
2025.09.29 05:30:00,78,XAUUSDc,buy,14.21 / 14.21,0.00,3713.21,,2025.09.29 05:30:00,filled,systematic-v1 BUY
2025.10.01 11:00:00,79,XAUUSDc,sell,14.21 / 14.21,0.00,,,2025.10.01 11:00:00,filled,
2025.10.01 11:00:00,80,XAUUSDc,buy,15.18 / 15.18,0.00,3799.41,,2025.10.01 11:00:00,filled,systematic-v1 BUY
2025.10.02 19:00:00,81,XAUUSDc,sell,15.18 / 15.18,0.00,,,2025.10.02 19:00:00,filled,
2025.10.06 02:00:00,82,XAUUSDc,buy,14.52 / 14.52,0.00,3819.72,,2025.10.06 02:00:00,filled,systematic-v1 BUY
2025.10.07 16:15:00,83,XAUUSDc,sell,14.52 / 14.52,0.00,,,2025.10.07 16:15:00,filled,
2025.10.07 16:15:00,84,XAUUSDc,buy,15.5 / 15.5,0.00,3903.57,,2025.10.07 16:15:00,filled,systematic-v1 BUY
2025.10.09 19:45:00,85,XAUUSDc,sell,15.5 / 15.5,0.00,,,2025.10.09 19:45:00,filled,
2025.10.13 08:15:00,86,XAUUSDc,buy,15.49 / 15.49,0.00,3983.48,,2025.10.13 08:15:00,filled,systematic-v1 BUY
2025.10.14 04:30:00,87,XAUUSDc,sell,15.49 / 15.49,0.00,,,2025.10.14 04:30:00,filled,
2025.10.14 04:30:00,88,XAUUSDc,buy,16.53 / 16.53,0.00,4067.15,,2025.10.14 04:30:00,filled,systematic-v1 BUY
2025.10.16 04:45:00,89,XAUUSDc,sell,16.53 / 16.53,0.00,,,2025.10.16 04:45:00,filled,
2025.10.16 04:45:00,90,XAUUSDc,buy,17.62 / 17.62,0.00,4151.08,,2025.10.16 04:45:00,filled,systematic-v1 BUY
2025.10.16 23:15:00,91,XAUUSDc,sell,17.62 / 17.62,0.00,,,2025.10.16 23:15:00,filled,
2025.10.16 23:15:00,92,XAUUSDc,buy,18.84 / 18.84,0.00,4236.98,,2025.10.16 23:15:00,filled,systematic-v1 BUY
2025.10.17 04:45:00,93,XAUUSDc,sell,18.84 / 18.84,0.00,,,2025.10.17 04:45:00,filled,
2025.10.31 12:00:00,94,XAUUSDc,buy,18.42 / 18.42,0.00,3928.98,,2025.10.31 12:00:00,filled,systematic-v1 BUY
2025.11.04 16:30:00,95,XAUUSDc,sell,18.42 / 18.42,0.00,,,2025.11.04 16:30:00,filled,
2025.11.10 03:30:00,96,XAUUSDc,buy,17.54 / 17.54,0.00,3968.34,,2025.11.10 03:30:00,filled,systematic-v1 BUY
2025.11.11 02:45:00,97,XAUUSDc,sell,17.54 / 17.54,0.00,,,2025.11.11 02:45:00,filled,
2025.11.11 02:45:00,98,XAUUSDc,buy,18.68 / 18.68,0.00,4049.53,,2025.11.11 02:45:00,filled,systematic-v1 BUY
2025.11.13 06:00:00,99,XAUUSDc,sell,18.68 / 18.68,0.00,,,2025.11.13 06:00:00,filled,
2025.11.13 06:00:00,100,XAUUSDc,buy,19.9 / 19.9,0.00,4133.15,,2025.11.13 06:00:00,filled,systematic-v1 BUY
2025.11.13 20:45:00,101,XAUUSDc,sell,19.9 / 19.9,0.00,,,2025.11.13 20:45:00,filled,
2025.11.14 08:30:00,102,XAUUSDc,buy,18.97 / 18.97,0.00,4098.39,,2025.11.14 08:30:00,filled,systematic-v1 BUY
2025.11.14 14:00:00,103,XAUUSDc,sell,18.97 / 18.97,0.00,,,2025.11.14 14:00:00,filled,
2025.11.24 23:45:00,104,XAUUSDc,buy,18.27 / 18.27,0.00,4059.61,,2025.11.24 23:45:00,filled,systematic-v1 BUY
2025.11.28 20:30:00,105,XAUUSDc,sell,18.27 / 18.27,0.00,,,2025.11.28 20:30:00,filled,
2025.11.28 20:30:00,106,XAUUSDc,buy,19.4 / 19.4,0.00,4140.56,,2025.11.28 20:30:00,filled,systematic-v1 BUY
2025.12.02 11:45:00,107,XAUUSDc,sell,19.4 / 19.4,0.00,,,2025.12.02 11:45:00,filled,
2025.12.03 20:00:00,108,XAUUSDc,buy,18.91 / 18.91,0.00,4131.40,,2025.12.03 20:00:00,filled,systematic-v1 BUY
2025.12.12 10:15:00,109,XAUUSDc,sell,18.91 / 18.91,0.00,,,2025.12.12 10:15:00,filled,
2025.12.12 10:15:00,110,XAUUSDc,buy,20.04 / 20.04,0.00,4213.77,,2025.12.12 10:15:00,filled,systematic-v1 BUY
2025.12.22 03:45:00,111,XAUUSDc,sell,20.04 / 20.04,0.00,,,2025.12.22 03:45:00,filled,
2025.12.22 03:45:00,112,XAUUSDc,buy,21.38 / 21.38,0.00,4302.04,,2025.12.22 03:45:00,filled,systematic-v1 BUY
2025.12.23 02:15:00,113,XAUUSDc,sell,21.38 / 21.38,0.00,,,2025.12.23 02:15:00,filled,
2025.12.23 02:15:00,114,XAUUSDc,buy,22.83 / 22.83,0.00,4386.59,,2025.12.23 02:15:00,filled,systematic-v1 BUY
2025.12.29 02:30:00,115,XAUUSDc,sell,22.83 / 22.83,0.00,,,2025.12.29 02:30:00,filled,
2026.01.06 04:15:00,116,XAUUSDc,buy,23.13 / 23.13,0.00,4379.55,,2026.01.06 04:15:00,filled,systematic-v1 BUY
2026.01.07 07:45:00,117,XAUUSDc,sell,23.13 / 23.13,0.00,,,2026.01.07 07:45:00,filled,
2026.01.09 17:30:00,118,XAUUSDc,buy,22.98 / 22.98,0.00,4425.71,,2026.01.09 17:30:00,filled,systematic-v1 BUY
2026.01.12 02:45:00,119,XAUUSDc,sell,22.98 / 22.98,0.00,,,2026.01.12 02:45:00,filled,
2026.01.12 02:45:00,120,XAUUSDc,buy,24.57 / 24.57,0.00,4511.54,,2026.01.12 02:45:00,filled,systematic-v1 BUY
2026.01.15 05:15:00,121,XAUUSDc,sell,24.57 / 24.57,0.00,,,2026.01.15 05:15:00,filled,
2026.01.16 01:30:00,122,XAUUSDc,buy,24.48 / 24.48,0.00,4529.28,,2026.01.16 01:30:00,filled,systematic-v1 BUY
2026.01.16 17:30:00,123,XAUUSDc,sell,24.48 / 24.48,0.00,,,2026.01.16 17:30:00,filled,
2026.01.19 01:15:00,124,XAUUSDc,buy,23.6 / 23.6,0.00,4574.62,,2026.01.19 01:15:00,filled,systematic-v1 BUY
2026.01.20 16:00:00,125,XAUUSDc,sell,23.6 / 23.6,0.00,,,2026.01.20 16:00:00,filled,
2026.01.20 16:00:00,126,XAUUSDc,buy,25.17 / 25.17,0.00,4657.35,,2026.01.20 16:00:00,filled,systematic-v1 BUY
2026.01.21 03:30:00,127,XAUUSDc,sell,25.17 / 25.17,0.00,,,2026.01.21 03:30:00,filled,
2026.01.21 03:30:00,128,XAUUSDc,buy,26.99 / 26.99,0.00,4747.59,,2026.01.21 03:30:00,filled,systematic-v1 BUY
2026.01.22 01:30:00,129,XAUUSDc,sell,26.99 / 26.99,0.00,,,2026.01.22 01:30:00,filled,
2026.01.23 01:15:00,130,XAUUSDc,buy,26.23 / 26.23,0.00,4863.17,,2026.01.23 01:15:00,filled,systematic-v1 BUY
2026.01.23 11:30:00,131,XAUUSDc,sell,26.23 / 26.23,0.00,,,2026.01.23 11:30:00,filled,
2026.01.26 01:15:00,132,XAUUSDc,buy,25.42 / 25.42,0.00,4941.13,,2026.01.26 01:15:00,filled,systematic-v1 BUY
2026.01.26 18:15:00,133,XAUUSDc,sell,25.42 / 25.42,0.00,,,2026.01.26 18:15:00,filled,
2026.01.26 18:15:00,134,XAUUSDc,buy,27.08 / 27.08,0.00,5021.90,,2026.01.26 18:15:00,filled,systematic-v1 BUY
2026.01.26 21:29:58,135,XAUUSDc,sell,27.08 / 27.08,0.00,,,2026.01.26 21:29:58,filled,sl 5021.90
2026.01.26 21:30:00,136,XAUUSDc,buy,25.32 / 25.32,0.00,4947.60,,2026.01.26 21:30:00,filled,systematic-v1 BUY
2026.01.27 22:15:00,137,XAUUSDc,sell,25.32 / 25.32,0.00,,,2026.01.27 22:15:00,filled,
2026.01.27 22:15:00,138,XAUUSDc,buy,27.65 / 27.65,0.00,5061.87,,2026.01.27 22:15:00,filled,systematic-v1 BUY
2026.01.28 05:00:00,139,XAUUSDc,sell,27.65 / 27.65,0.00,,,2026.01.28 05:00:00,filled,
2026.01.28 05:00:00,140,XAUUSDc,buy,29.65 / 29.65,0.00,5151.83,,2026.01.28 05:00:00,filled,systematic-v1 BUY
2026.01.28 22:00:00,141,XAUUSDc,sell,29.65 / 29.65,0.00,,,2026.01.28 22:00:00,filled,
2026.01.28 22:00:00,142,XAUUSDc,buy,31.9 / 31.9,0.00,5245.83,,2026.01.28 22:00:00,filled,systematic-v1 BUY
2026.01.29 01:15:00,143,XAUUSDc,sell,31.9 / 31.9,0.00,,,2026.01.29 01:15:00,filled,
2026.01.29 01:15:00,144,XAUUSDc,buy,35.7 / 35.7,0.00,5394.96,,2026.01.29 01:15:00,filled,systematic-v1 BUY
2026.01.29 06:45:00,145,XAUUSDc,sell,35.7 / 35.7,0.00,,,2026.01.29 06:45:00,filled,
2026.01.29 06:45:00,146,XAUUSDc,buy,38.09 / 38.09,0.00,5477.77,,2026.01.29 06:45:00,filled,systematic-v1 BUY
2026.01.29 10:44:58,147,XAUUSDc,sell,38.09 / 38.09,0.00,,,2026.01.29 10:44:58,filled,sl 5477.77
2026.01.29 10:45:00,148,XAUUSDc,buy,35.61 / 35.61,0.00,5403.34,,2026.01.29 10:45:00,filled,systematic-v1 BUY
2026.01.29 17:14:57,149,XAUUSDc,sell,35.61 / 35.61,0.00,,,2026.01.29 17:14:57,filled,sl 5403.34
2026.02.10 17:45:00,150,XAUUSDc,buy,33.3 / 33.3,0.00,4934.17,,2026.02.10 17:45:00,filled,systematic-v1 BUY
2026.02.11 12:45:00,151,XAUUSDc,sell,33.3 / 33.3,0.00,,,2026.02.11 12:45:00,filled,
2026.02.11 12:45:00,152,XAUUSDc,buy,35.59 / 35.59,0.00,5020.07,,2026.02.11 12:45:00,filled,systematic-v1 BUY
2026.02.11 15:44:58,153,XAUUSDc,sell,35.59 / 35.59,0.00,,,2026.02.11 15:44:58,filled,sl 5020.07
2026.02.11 16:45:00,154,XAUUSDc,buy,33.28 / 33.28,0.00,4963.06,,2026.02.11 16:45:00,filled,systematic-v1 BUY
2026.02.12 17:00:00,155,XAUUSDc,sell,33.28 / 33.28,0.00,,,2026.02.12 17:00:00,filled,
2026.02.19 13:30:00,156,XAUUSDc,buy,33.26 / 33.26,0.00,4904.97,,2026.02.19 13:30:00,filled,systematic-v1 BUY
2026.02.20 19:00:00,157,XAUUSDc,sell,33.26 / 33.26,0.00,,,2026.02.20 19:00:00,filled,
2026.02.20 19:00:00,158,XAUUSDc,buy,35.44 / 35.44,0.00,4986.70,,2026.02.20 19:00:00,filled,systematic-v1 BUY
2026.02.23 01:45:00,159,XAUUSDc,sell,35.44 / 35.44,0.00,,,2026.02.23 01:45:00,filled,
2026.02.23 01:45:00,160,XAUUSDc,buy,38.06 / 38.06,0.00,5078.91,,2026.02.23 01:45:00,filled,systematic-v1 BUY
2026.02.24 01:15:00,161,XAUUSDc,sell,38.06 / 38.06,0.00,,,2026.02.24 01:15:00,filled,
2026.02.24 01:15:00,162,XAUUSDc,buy,40.68 / 40.68,0.00,5164.71,,2026.02.24 01:15:00,filled,systematic-v1 BUY
2026.02.24 03:15:00,163,XAUUSDc,sell,40.68 / 40.68,0.00,,,2026.02.24 03:15:00,filled,
